source,destination,permanent,reason
/furnace-repair-saratoga-springs-ut/,/furnace-repair-saratoga-springs-ut.html,true,clean-option-route
/furnace-repair/,/furnace-repair.html,true,clean-option-route
/furnace-replacement-eagle-mountain-ut,/heating-replacement.html,true,legacy-live-route
/furnace-replacement-eagle-mountain-ut/,/heating-replacement.html,true,legacy-live-route
/furnace-replacement-enhances-comfort,/heating-replacement.html,true,legacy-live-route
/furnace-replacement-enhances-comfort/,/heating-replacement.html,true,legacy-live-route
/furnace-replacement-for-homes,/heating-replacement.html,true,legacy-live-route
/furnace-replacement-for-homes/,/heating-replacement.html,true,legacy-live-route
/furnace-replacement-lehi-ut,/heating-replacement.html,true,legacy-live-route
/furnace-replacement-lehi-ut/,/heating-replacement.html,true,legacy-live-route
/furnace-services-lehi-ut,/ventilation.html,true,legacy-live-route
/furnace-services-lehi-ut/,/ventilation.html,true,legacy-live-route
/furnace-tune-up-lehi-ut,/heating-tune-up.html,true,legacy-live-route
/furnace-tune-up-lehi-ut/,/heating-tune-up.html,true,legacy-live-route
/furnace/,/furnace.html,true,clean-option-route
/gain-insight-into-heat-pumps,/heat-pump.html,true,legacy-live-route
/gain-insight-into-heat-pumps/,/heat-pump.html,true,legacy-live-route
/gas-lines,/gas-lines.html,true,clean-option-route
/gas-lines-in-lehi-ut,/gas-lines.html,true,legacy-live-route
/gas-lines-in-lehi-ut/,/gas-lines.html,true,legacy-live-route
/gas-lines/,/gas-lines.html,true,clean-option-route
/geothermal-guide,/geothermal-guide.html,true,clean-option-route
/geothermal-guide/,/geothermal-guide.html,true,clean-option-route
/getting-your-ac-ready-for-summer,/ac-maintenance.html,true,legacy-live-route
/getting-your-ac-ready-for-summer/,/ac-maintenance.html,true,legacy-live-route
/goodman,/other-products.html,true,legacy-live-route
/goodman/,/other-products.html,true,legacy-live-route
/handling-emergency-ac-repair,/ac-repair.html,true,legacy-live-route
/handling-emergency-ac-repair/,/ac-repair.html,true,legacy-live-route
/heat-pump,/heat-pump.html,true,clean-option-route
/heat-pump-inspection-lehi-ut,/heat-pump.html,true,legacy-live-route
/heat-pump-inspection-lehi-ut/,/heat-pump.html,true,legacy-live-route
/heat-pump-installation-lehi-ut,/heat-pump.html,true,legacy-live-route
/heat-pump-installation-lehi-ut/,/heat-pump.html,true,legacy-live-route
/heat-pump-maintenance-lehi-ut,/heat-pump.html,true,legacy-live-route
/heat-pump-maintenance-lehi-ut/,/heat-pump.html,true,legacy-live-route
/heat-pump-repair-lehi-ut,/heat-pump.html,true,legacy-live-route
/heat-pump-repair-lehi-ut/,/heat-pump.html,true,legacy-live-route
/heat-pump-replacement-lehi-ut,/heat-pump.html,true,legacy-live-route
